Unnamed: 0,script_name,method_name,label,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43
72,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.init@1@155592,0,0,0,495,2053,0.2411105698977107,4.147474747474748,2,0,6.147474747474748,5,0,0.004600662495399337,0.004048582995951417,0.0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.#j@1@91926,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0
76,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.#j@1@92026,0,0,0,495,2053,0.2411105698977107,4.147474747474748,2,0,6.147474747474748,5,0,0.004600662495399337,0.004048582995951417,0.0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.#j@1@92317,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0
80,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,Md.LN@734@2075,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0
82,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,Md.<anonymous>@294@187,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,11,0,4,0,3,0,0,0,0,0,5,0,0,0,0
84,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,Nd.k.apply@222@466,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,11,0,8,0,5,0,0,0,0,0,5,0,0,0,0
86,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,gb@186@719,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,11,0,4,0,3,0,0,0,0,0,5,0,0,0,0
88,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,Md.evaluate@224@72,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0
90,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,Md.Ce@248@31,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0
92,https://cdn.dynamicyield.com/api/8784964/api_static.js,Function.getTotalCookieSize@1@129182,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.01417004048582996,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
154,https://www.hp.com/etc.clientlibs/hp-com/clientlibs/clientlib-core/resources/js/pl-script.69d13c3a.js,e.value@2@248195,0,0,0,495,2053,0.2411105698977107,4.147474747474748,2,0,6.147474747474748,12,0,0.01121146060417316,0.004048582995951417,0.0,0,0,0,0,0,2,0,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
156,https://www.hp.com/etc.clientlibs/hp-com/clientlibs/clientlib-core/resources/js/pl-script.69d13c3a.js,@2@248880,0,0,0,495,2053,0.2411105698977107,4.147474747474748,2,0,6.147474747474748,12,0,0.01121146060417316,0.004048582995951417,0.0,0,0,0,0,0,2,0,6,0,1,0,0,4,4,0,0,3,2,403,0,3,0,0,0,4,0,0,0,0
158,https://www.hp.com/etc.clientlibs/hp-com/clientlibs/clientlib-core/resources/js/pl-script.69d13c3a.js,@2@360326,0,0,0,495,2053,0.2411105698977107,4.147474747474748,2,1,6.147474747474748,11,6,0.01020580296896086,0.004048582995951417,0.002024291497975709,0,0,0,0,0,2,5,5,1,1,0,0,4,4,0,0,3,2,403,0,3,0,0,3,3,0,0,0,0
